PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,No. of all inlinks,First found at
2,https://shop.testograph.eu/blogs/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,3,false,4,https://shop.testograph.eu/blogs/testosteron-sled-30
1,https://shop.testograph.eu/products/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,2,false,3,https://shop.testograph.eu/products/testoup
1,https://shop.testograph.eu/pages/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,3,false,3,https://shop.testograph.eu/pages/about-us
0,https://shop.testograph.eu/blogs/hranene-i-dieta/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,4,false,1,https://shop.testograph.eu/blogs/hranene-i-dieta/koi-hrani-povishavat-testosterona-estestveno
0,https://shop.testograph.eu/blogs/testosteron-sled-30/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,4,false,1,https://shop.testograph.eu/blogs/testosteron-sled-30/kak-da-sprem-spada-na-testosteron-sled-30
0,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,4,false,1,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/kakvi-sa-simptomite-na-nisak-testosteron
0,https://shop.testograph.eu/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,2,false,1,https://shop.testograph.eu/
0,https://shop.testograph.eu/collections/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,3,false,1,https://shop.testograph.eu/collections/all
0,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/tagged/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,5,false,1,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron/tagged/%D0%B5%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D0%BB%D0%BD%D0%B0-%D0%B4%D0%B8%D1%81%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F
0,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/tagged/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,5,false,1,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/tagged/%D0%B5%D1%80%D0%B5%D0%BA%D1%82%D0%B8%D0%BB%D0%BD%D0%B0-%D0%B4%D0%B8%D1%81%D1%84%D1%83%D0%BD%D0%BA%D1%86%D0%B8%D1%8F
0,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,4,false,1,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave/kak-da-si-vurnesh-liboto-i-silnata-erekciya
0,https://shop.testograph.eu/blogs/hranene-i-dieta/tagged/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,5,false,1,https://shop.testograph.eu/blogs/hranene-i-dieta/tagged/%D0%B2%D1%8A%D0%B3%D0%BB%D0%B5%D1%85%D0%B8%D0%B4%D1%80%D0%B0%D1%82%D0%B8
0,https://shop.testograph.eu/blogs/testosteron-sled-30/tagged/<span%20class='notranslate'>{{%20link%20}}</span>,,text/html; charset=utf-8,false,404,0,5,false,1,https://shop.testograph.eu/blogs/testosteron-sled-30/tagged/%D1%82%D0%B5%D1%81%D1%82%D0%BE%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%BD
