PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 3xx,Internal outlinks codes (3xx),No. of internal outlinks to 3xx,External outlinks to 3xx,External outlinks codes (3xx),No. of external outlinks to 3xx
31,https://shop.testograph.eu/products/testoup,TestoUP Увеличава Тестостерона с 12 клинични дозирани съставки! – Testograph,text/html; charset=utf-8,false,200,0,1,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
31,https://shop.testograph.eu/,Натурална Добавка за Повишаване на Тестостерона с Трибулус и Ашваганда – Testograph,text/html; charset=utf-8,false,200,0,1,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/blogs/hranene-i-dieta,Хранене и Диета – Testograph,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/en/products/testoup,TestoUP Увеличава Тестостерона с 12 клинични дозирани съставки! – Testograph,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/pages/contact,Контакти Testograph: Свържете се с Екипа за Мъжко Здраве,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/en,Натурална Добавка за Повишаване на Тестостерона с Трибулус и Ашваганда – Testograph,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/en/blogs/simptomi-na-nisak-testosteron,Симптоми на нисък тестостерон – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/en/pages/faq,Често задавани въпроси | Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/en/pages/contact,Контакти Testograph: Свържете се с Екипа за Мъжко Здраве,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/blogs/libido-i-seksualno-zdrave,Либидо и сексуално здраве – Testograph,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/collections/all,Продукти – Testograph,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/blogs/simptomi-na-nisak-testosteron,Симптоми на нисък тестостерон – Testograph,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/pages/about-us,За Testograph: Нашата Мисия за Мъжко Здраве и Тестостерон,text/html; charset=utf-8,false,200,0,2,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=bg&region_country=BG","301
302",2,,,0
30,https://shop.testograph.eu/en/blogs/hranene-i-dieta,Хранене и Диета – Testograph,text/html; charset=utf-8,false,200,0,3,"http://shop.testograph.eu/
https://shop.testograph.eu/customer_authentication/redirect?locale=en&region_country=BG","301
302",2,,,0
